English,Ukraine
the,артикль
be,бути
and,і
of,з/від/об
a,артикль
in,в
to,частка перед дієсловом
have,мати
to,щоб
it,це
I,я
that,що
for,для
you,ти ви
he,він
with,з
on,на
do,робити
say,сказати
this,цей
they,вони
at,на/в
but,але
we,ми
his,його
from,із/з
that,той
not,не
n't,ні (скор.)
by,від
she,вона
or,або
as,в якості
what,що
go,йти
their,їх
can,може
who,хто
get,отримувати
if,якщо
would,б
her,її
all,всі
my,моє
make,робити
about,про
know,знати
will,буде
as,як
up,вгору
one,один
time,час
there,там
year,рік
so,тому
think,думати
when,коли
which,котрий
them,їм
some,деякі
me,мій
people,люди
take,брати
out,з/поза
into,всередині
just,просто
see,бачити
him,його
your,твій
come,приходити
could,міг
now,зараз
than,ніж
like,як
other,інший
how,як
then,тоді
its,цього
our,наше
two,два
more,більше
these,ці
want,хотіти
way,спосіб
look,виглядає
first,перший
also,також
new,новий
because,тому що
day,день
more,більше
use,використовувати
no,немає
man,людина/чоловік
find,знаходити
here,тут
thing,річ
give,давати
many,багато
well,добре
only,тільки
those,ті
tell,розповідати
one,частина
very,дуже
her,її
even,навіть
back,назад
any,будь-який
good,хороший
woman,жінка
thought,думка
us,нам/нас
life,життя
child,дитина
there,туди
work,працювати
down,вниз
many,багато
after,після
should,повинен
call,кликати
world,мир
over,понад
school,школа
still,досі
try,намагатися
in,в
as,як
last,останній
ask,питати
need,потребувати
too,теж
feel,відчувати
there,це
when,коли
state,стан
never,ніколи
become,ставати
between,між
high,високий
really,дійсно
something,що-небудь
most,більшість
another,інший
much,багато
family,родина
own,особистий
out,з/поза
leave,залишати
put,поклав
old,старий
while,поки що
mean,значить
on,від
keep,зберігати
student,студент
why,чому
let,дозволяти
great,великий
same,однаковий
big,великий
group,група
begin,починати
seem,здаватися
country,країна
help,допомагати
talk,спілкуватися
where,де
turn,повертати
problem,проблема
every,кожен
start,починати
hand,рука
might,може
American,американський
show,показувати
part,частина
about,про
against,проти
place,місце
over,понад
such,як
again,знову
few,кілька
case,випадок
most,більшість
week,тиждень
company,компанія
where,де
system,система
each,кожен
right,правильно
program,програма
hear,чути
so,так
during,протягом
work,робота
play,грати
government,уряд
run,бігти
small,маленький
number,кількість
off,від/із
always,завжди
move,рухатися
like,подобатися
night,ніч
live,жити
Mr,містер
point,"точка, крапка"
believe,вірити
hold,тримати
today,сьогодні
bring,нести
happen,траплятися
next,наступного
without,без
before,раніше
large,величезний
all,усе
million,мільйон
must,повинен
home,хата
under,під
water,вода
room,кімната
write,писати
mother,ненька
area,місцевість
national,національний
money,гроші
story,історія
young,молодий
fact,факт
month,місяць
different,різний
lot,багато
right,право
study,вчити
book,книга
eye,очей
job,робота
word,слово
though,хоча
business,бізнес
issue,проблема
side,сторона
kind,вид
four,чотири
head,голова
far,далекий
black,чорний
long,довгий
both,обидва
little,маленький
house,хата
yes,так
after,після
since,з
long,довго
provide,постачати
service,сервіс
around,навколо
friend,один
important,важливий
father,батько
sit,сидіти
away,поза/далеко
until,доти
power,сила
hour,година
game,гра
often,часто
yet,досі
line,лінія
political,політичний
end,кінець
among,серед
ever,завжди
stand,стояти
bad,поганий
lose,втрачати
however,проте
member,учасник
pay,платити
law,закон
meet,зустрічати
car,автомобіль
city,місто
almost,майже
include,включати
continue,продовжувати
set,встановлювати
later,пізніше
community,співтовариство
much,значно
name,ім'я
five,п'ять
once,одного разу
white,білий
least,найменш
president,президент
learn,вчити
real,справжній
change,змінювати
team,команда
minute,хвилина
best,кращий
several,кілька
idea,ідея
kid,дитина
body,тіло
information,інформація
nothing,нічого
ago,тому назад
right,право
lead,вести
social,соціальний
understand,розуміти
whatever,без різниці
back,зад
watch,дивитися
together,разом
fellow,людина
around,навколо
parent,батько
only,тільки
stop,зупинятися
face,особа
anything,що-небудь
create,створювати
public,громадський
already,вже
speak,спілкуватися
others,інші
read,читати
level,рівень
allow,дозволяти
add,додавати
office,офіс
spend,проводити
door,двері
health,здоров'я
person,людина
art,мистецтво
sure,звісно
such,такий
war,війна
history,історія
party,вечірка
within,в межах
grow,рости
result,результат
open,відкривати
change,змінювати
morning,ранок
walk,гуляти
reason,причина
low,низький
research,дослідження
girl,дівчинка
guy,хлопець
early,рано
food,їжа
before,раніше
moment,момент
himself,сам
air,повітря
teacher,учитель
force,сила
offer,пропонувати
enough,досить
both,обидва
education,утворення
across,через
although,хоча
remember,пам'ятати
food,їжа
second,другий
boy,хлопчик
maybe,можливо
toward,до
able,здатний
age,вік
off,від/геть
policy,політика
everything,усе
love,кохання
process,процес
music,музика
including,включаючи
consider,розглядати
appear,з'являтися
actually,насправді
buy,купувати
probably,ймовірно
human,людина
wait,чекати
serve,обслуговувати
market,ринок
die,вмирати
send,відправляти
expect,очікувати
home,додому
sense,сенс
build,будувати
stay,залишатися
fall,падати
oh,ох
nation,нація
plan,план
cut,різати
college,коледж
interest,інтерес
death,смерть
course,курс
someone,дехто
experience,досвід
behind,ззаду/за
reach,досягати
local,місцевий
kill,вбивати
six,шість
remain,залишатися
effect,впливати
use,використовувати
yeah,так (розм.)
suggest,пропонувати
class,клас
control,контроль
raise,рости
care,турбота
perhaps,можливо
little,трохи
late,пізній
hard,важкий
field,поле
else,інший
pass,проходити
former,колишній
sell,продавати
major,основний
sometimes,іноді
require,вимагати
along,разом
development,розвиток
themselves,самі
report,доповідати
role,роль
better,краще
economic,економічний
effort,зусилля
up,вгору
decide,вирішувати
rate,темп
strong,сильний
possible,можливий
heart,серце
drug,ліки/наркотик
show,показувати
leader,лідер
light,світло
voice,голос
wife,дружина
whole,цілий
police,поліція
mind,розум
finally,нарешті
pull,тягнути
return,повертатися
free,безкоштовний/вільний
military,військовий
price,ціна
report,звіт
less,менше
according,відповідно
decision,рішення
explain,пояснювати
son,син
hope,сподіватися
even,навіть
develop,розвивати
view,бачення
relationship,відношення
carry,нести
town,місто
road,дорога
drive,водити
arm,рука
TRUE,правильний
federal,федеральний
break,ламати
better,краще
difference,різниця
thank,подяку
receive,отримувати
value,значення
international,міжнародний
building,споруда
action,дія
full,повний
model,Модель
join,приєднуватися
season,сезон
society,суспільство
because,так як
tax,податок
director,директор
early,початковий
position,позиція/посада
player,гравець
agree,погоджуватися
especially,особливо
record,записувати
pick,вибирати
wear,носити одяг
paper,папір
special,спеціально
space,простір
ground,земля
form,форма
support,підтримка
event,подія
official,офіційний
whose,чий
matter,мати значення
everyone,всі
center,центр
couple,пара
site,сайт
end,кінець
project,проект
hit,вражати (мета)
base,основа
activity,заняття
star,зірка
table,стіл
need,необхідність
court,корт
produce,виробляти
eat,їсти
American,американець
teach,викладати
oil,масло
half,половина
situation,ситуація
easy,легко
cost,вартість
industry,індустрія
figure,фігура
face,особа
street,вулиця
image,зображення
itself,саме
phone,телефон
either,або
data,дані
cover,покривати
quite,досить
picture,картинка
clear,чисто
practice,практика
piece,мир
land,земля
recent,недавній
describe,описувати
product,продукт
doctor,доктор
wall,стіна
patient,пацієнт
worker,робочий
test,тест
movie,фільм
certain,певний
north,північ
love,кохання
personal,особистий
open,відкритий
support,допомога
simply,легко
third,третій
technology,технологія
catch,ловити
baby,немовля
computer,комп'ютер
type,тип
attention,увага
draw,малювати
film,фільм
Republican,республіканець
tree,дерево
source,джерело
nearly,приблизно
organization,організація
choose,вибирати
cause,причина
hair,волосся
look,вид
point,точка зору
century,століття
evidence,докази
window,вікно
difficult,складний
listen,слухати
soon,скоро
culture,культура
billion,мільярд
chance,шанс
brother,брат
energy,енергія
period,період
course,страва
summer,літо
less,менший
realize,реалізовувати
hundred,сто
available,доступний
plant,рослина
likely,ймовірно
opportunity,можливість
term,термін
short,короткий
letter,лист
condition,стан
choice,вибір
place,місце
single,один/самотній
rule,правило
daughter,дочка
administration,адміністрація
south,південь
husband,чоловік
Congress,конгрес
floor,підлога/поверх
campaign,кампанія
material,матеріал
population,населення
well,добре
call,дзвінок
economy,економіка
medical,медичний
hospital,лікарня
church,церква
close,закривати
thousand,тисяча
risk,ризик
current,поточний
fire,вогонь
future,майбутнє
wrong,неправильний
involve,включати
defense,захист
anyone,хто-небудь
increase,збільшувати
security,безпека
bank,банк
myself,сам
certainly,безперечно
west,захід
sport,спорт
board,борт
seek,шукати
per,за
subject,предмет
officer,офіцер
private,приватний
rest,відпочинок
behavior,поведінка
deal,угода
performance,виконання
fight,битися
throw,через
top,верх
quickly,швидко
past,минуле
goal,мета
second,другий
bed,ліжко
order,наказ
author,автор
fill,заповнювати
represent,представляти
focus,фокус
foreign,іноземний
drop,падати
plan,план
blood,кров
upon,на/по
agency,агентство
push,штовхати
color,колір
no,нікого
recently,нещодавно
store,магазин
reduce,знижувати
sound,звук
note,позначка
fine,відмінно
before,перш ніж
near,близько
movement,рух
page,сторінка
enter,входити
share,ділитися
than,як
common,загальний
poor,бідний
other,інший
natural,природний
race,гонка
concern,занепокоєння
series,серія
significant,значний
similar,схожий
hot,гарячий
language,мова
each,кожен
usually,зазвичай
response,відповідь
dead,мертвий
rise,зростати
animal,тварина
factor,фактор
decade,десятиліття
article,стаття
shoot,стріляти
east,схід
save,зберігати
seven,сім
artist,художник
away,геть
scene,сцена
stock,запас
career,кар'єра
despite,незважаючи на
central,центральний
eight,вісім
thus,таким чином
treatment,лікування
beyond,"за, поза"
happy,щасливий
exactly,точно
protect,захищати
approach,наближення
lie,брехати
size,розмір
dog,собака
fund,фонд
serious,серйозний
occur,відбуватися
media,медіа
ready,готовий
sign,знак/підпис
thought,намір
list,перелік
individual,індивідуальний
simple,простий
quality,якість
pressure,тиск
accept,приймати
answer,відповідь
hard,складний
resource,ресурс
identify,ідентифікувати
left,залишати
meeting,зустріч
determine,визначати
prepare,готувати
desease,хвороба
whatever,що-небудь
success,успіх
argue,суперечка
cup,чашка
particularly,особливо
amount,сума
ability,можливість
staff,персонал
recognize,дізнаватися
indicate,вказувати на
character,персонаж
growth,зріст
loss,збиток
degree,ступінь
wonder,дивуватися
attack,атака
herself,сама
region,регіон
television,телебачення
box,коробка
TV,ТБ
training,тренування
pretty,гарний
trade,торговий
deal,справа
election,вибори
everybody,кожен
physical,фізичний
lay,лежати
general,загальний
feeling,почуття
standard,стандарт
bill,рахунок
message,повідомлення
fail,невдача
outside,зовні
arrive,прибувати
analysis,аналіз
benefit,вигода
name,ім'я
sex,секс
forward,безпосередньо
lawyer,юрист
present,дарувати
section,розділ
environmental,екологічний
glass,склянка
answer,відповідь
skill,навик
sister,сестра
PM,пообіді
professor,професор
operation,операція
financial,фінансовий
crime,злочин
stage,етап
ok,ок
compare,порівнювати
authority,авторитет
miss,нудьгувати
design,дизайн
sort,вид
one,єдиний
act,діяти
ten,десять
knowledge,знання
gun,пістолет
station,станція
blue,блакитний
state,держава
strategy,стратегія
little,мало
clearly,ясно
discuss,обговорювати
indeed,дійсно
force,примушувати
truth,правда
song,пісня
example,приклад
democratic,демократичний
check,перевіряти
environment,довкілля
leg,нога
dark,темний
public,громадськість
various,різний
laugh,сміятися
guess,здогадуватися
executive,посадова особа
set,набір
study,вчення
prove,доводити
hang,вішати
entire,цілий
rock,рок
design,дизайн
enough,досить
forget,забувати
since,відтоді
claim,вимагати
note,нота
remove,видаляти
manager,менеджер
help,допомога
close,близький
sound,звучати
enjoy,насолоджуватися
network,мережа
legal,законний
religious,релігійний
cold,холодний
form,формувати
final,фінал
main,головний
science,наука
green,зелений
memory,пам'ять
card,карта
above,понад
seat,сидіння
cell,клітинка
establish,встановити
nice,відмінно
trail,слід
expert,експерт
spring,весна
firm,фірма
Democrat,демократ
radio,радіо
visit,відвідувати
manage,керувати
care,піклуватися
avoid,уникати
imagine,уявляти
tonight,цієї ночі
huge,величезний
ball,м'яч
close,закривати
finish,закінчувати
yourself,тебе самого
talk,балаканина
theory,теорія
impact,вплив
respond,реагувати
statement,твердження
maintain,підтримувати
charge,заряджати
popular,популярний
traditional,традиційний
onto,на
reveal,розкривати
weapon,спорядження
employee,працівник
cultural,культурний
contain,складатися з
peace,мир
head,глава
control,контроль
base,база
pain,біль
apply,подавати заяву
play,гра
measure,міра
wide,мережа
shake,збивати
fly,літати
interview,інтерв'ю
manage,справлятися
chair,стілець
fish,риба
particular,певний
camera,камера
structure,структура
politics,політика
perform,виконувати
bit,шматочок
weight,вага
suddenly,раптово
discover,досліджувати
candidate,кандидат
top,топ
production,виробництво
treat,лікувати
trip,подорож
evening,вечір
affect,впливати
inside,всередині
conference,конференція
unit,частина
best,кращий
style,стиль
adult,дорослий
worry,хвилюватися
range,спектр
mention,згадка
rather,швидше
far,далекий
deed,справа
past,минуле
edge,край
individual,індивідуальний
specific,конкретний
writer,письменник
trouble,проблема
necessary,важливо
thoughout,впродовж
challenge,випробування
fear,страх
shoulder,плече
institution,установа
middle,середній
sea,море
dream,мрія/сон
magazine,журнал
bar,бар
beautiful,гарно
property,майно
instead,замість
improve,поліпшувати
stuff,персонал
detail,деталь
method,метод
